,Año,Trimestre,Provincia,Accesos por cada 100 hab
0,2023,4,Buenos Aires,27.68
2,2023,4,Catamarca,17.46
3,2023,4,Chaco,11.85
4,2023,4,Chubut,26.04
5,2023,4,Córdoba,27.76
6,2023,4,Corrientes,13.84
7,2023,4,Entre Ríos,20.91
8,2023,4,Formosa,9.98
9,2023,4,Jujuy,14.77
10,2023,4,La Pampa,32.93
11,2023,4,La Rioja,21.35
12,2023,4,Mendoza,14.55
13,2023,4,Misiones,15.33
14,2023,4,Neuquén,23.78
15,2023,4,Río Negro,21.61
16,2023,4,Salta,13.8
17,2023,4,San Juan,12.75
18,2023,4,San Luis,29.21
19,2023,4,Santa Cruz,21.94
20,2023,4,Santa Fe,25.08
21,2023,4,Santiago Del Estero,12.18
22,2023,4,Tierra Del Fuego,32.75
23,2023,4,Tucumán,15.12
24,2023,3,Buenos Aires,27.5
26,2023,3,Catamarca,17.44
27,2023,3,Chaco,11.46
28,2023,3,Chubut,25.82
29,2023,3,Córdoba,27.57
30,2023,3,Corrientes,13.9
31,2023,3,Entre Ríos,20.58
32,2023,3,Formosa,9.89
33,2023,3,Jujuy,14.73
34,2023,3,La Pampa,32.62
35,2023,3,La Rioja,21.41
36,2023,3,Mendoza,14.52
37,2023,3,Misiones,15.12
38,2023,3,Neuquén,23.8
39,2023,3,Río Negro,21.04
40,2023,3,Salta,13.94
41,2023,3,San Juan,12.85
42,2023,3,San Luis,28.2
43,2023,3,Santa Cruz,12.17
44,2023,3,Santa Fe,24.87
45,2023,3,Santiago Del Estero,12.08
46,2023,3,Tierra Del Fuego,31.41
47,2023,3,Tucumán,15.17
